arm	model	truth	predicted	p_legitimate	p_spam	p_phishing	legal_mass	message
zero-shot	qwen3:0.6b	spam	legitimate	0.8249	0.0522	0.1229	0.9960	lose twenty pounds with this one weird trick
zero-shot	qwen3:0.6b	legitimate	phishing	0.1235	0.3691	0.5074	0.9800	can you review the draft before friday
zero-shot	qwen3:0.6b	phishing	phishing	0.4286	0.0991	0.4723	0.9960	the ceo needs you to buy gift cards urgently
zero-shot	qwen3:0.6b	spam	phishing	0.3299	0.2204	0.4497	0.9889	double your crypto returns guaranteed no risk
zero-shot	qwen3:0.6b	legitimate	legitimate	0.6003	0.1244	0.2754	0.9920	welcome to the team, here is your desk number
zero-shot	qwen3:0.6b	phishing	legitimate	0.4373	0.3314	0.2312	0.9946	your vpn certificate expired, reauthenticate here
zero-shot	qwen3:0.6b	spam	legitimate	0.6007	0.1680	0.2313	0.9945	your car warranty is about to expire, act now
zero-shot	qwen3:0.6b	legitimate	legitimate	0.7399	0.1246	0.1355	0.9929	we rescheduled the client call to wednesday
zero-shot	qwen3:0.6b	phishing	phishing	0.3539	0.1473	0.4988	0.9863	action required: reset your password within an hour
zero-shot	qwen3:0.6b	spam	legitimate	0.4261	0.1800	0.3939	0.9849	we can remove your debt in thirty days
zero-shot	qwen3:0.6b	legitimate	legitimate	0.6884	0.1135	0.1981	0.9946	the parking permit renewal form is due friday
zero-shot	qwen3:0.6b	phishing	legitimate	0.3967	0.2087	0.3946	0.9954	confirm your identity to release the held package
zero-shot	qwen3:0.6b	spam	phishing	0.4247	0.1453	0.4300	0.9859	this stock is about to explode, buy before monday
zero-shot	qwen3:0.6b	legitimate	legitimate	0.8035	0.0383	0.1582	0.9942	badge access to the lab starts on monday
zero-shot	qwen3:0.6b	phishing	legitimate	0.6649	0.1278	0.2073	0.9883	urgent: the director asked me to handle this quietly
zero-shot	qwen3:0.6b	spam	phishing	0.2420	0.2975	0.4605	0.9939	miracle cream removes wrinkles overnight
zero-shot	qwen3:0.6b	legitimate	legitimate	0.4054	0.2707	0.3240	0.9937	i added the numbers you asked for to the sheet
zero-shot	qwen3:0.6b	phishing	legitimate	0.5313	0.2472	0.2216	0.9915	your package is held, confirm your card to release
zero-shot	qwen3:0.6b	spam	legitimate	0.7639	0.0745	0.1616	0.9713	best deals on refurbished phones this month
zero-shot	qwen3:0.6b	legitimate	legitimate	0.6525	0.2362	0.1113	0.9957	please bring your laptop to the workshop
zero-shot	qwen3:0.6b	phishing	phishing	0.3729	0.0959	0.5312	0.9888	sign in to view the encrypted message from hr
zero-shot	qwen3:0.6b	spam	legitimate	0.4047	0.2367	0.3586	0.9949	your name appeared in our prize draw list
zero-shot	qwen3:0.6b	legitimate	legitimate	0.8939	0.0750	0.0311	0.9942	the release notes are ready for your approval
zero-shot	qwen3:0.6b	legitimate	legitimate	0.4543	0.2662	0.2795	0.9845	the intern starts on monday, say hello
few-shot	qwen3:0.6b	spam	spam	0.3747	0.4851	0.1402	0.0718	lose twenty pounds with this one weird trick
few-shot	qwen3:0.6b	legitimate	phishing	0.0447	0.2000	0.7553	0.1042	can you review the draft before friday
few-shot	qwen3:0.6b	phishing	phishing	0.0636	0.1401	0.7963	0.6844	the ceo needs you to buy gift cards urgently
few-shot	qwen3:0.6b	spam	legitimate	0.7885	0.1795	0.0319	0.2552	double your crypto returns guaranteed no risk
few-shot	qwen3:0.6b	legitimate	legitimate	0.7441	0.0900	0.1659	0.1706	welcome to the team, here is your desk number
few-shot	qwen3:0.6b	phishing	legitimate	0.6307	0.2576	0.1116	0.1675	your vpn certificate expired, reauthenticate here
few-shot	qwen3:0.6b	spam	legitimate	0.6584	0.1973	0.1443	0.5678	your car warranty is about to expire, act now
few-shot	qwen3:0.6b	legitimate	phishing	0.0477	0.2499	0.7024	0.1432	we rescheduled the client call to wednesday
few-shot	qwen3:0.6b	phishing	phishing	0.1705	0.3741	0.4554	0.3447	action required: reset your password within an hour
few-shot	qwen3:0.6b	spam	legitimate	0.5348	0.2716	0.1936	0.3148	we can remove your debt in thirty days
few-shot	qwen3:0.6b	legitimate	legitimate	0.3973	0.2515	0.3512	0.6444	the parking permit renewal form is due friday
few-shot	qwen3:0.6b	phishing	legitimate	0.8045	0.1165	0.0790	0.1364	confirm your identity to release the held package
few-shot	qwen3:0.6b	spam	phishing	0.0989	0.4149	0.4862	0.4371	this stock is about to explode, buy before monday
few-shot	qwen3:0.6b	legitimate	legitimate	0.7095	0.1001	0.1904	0.3355	badge access to the lab starts on monday
few-shot	qwen3:0.6b	phishing	phishing	0.0273	0.1031	0.8696	0.2624	urgent: the director asked me to handle this quietly
few-shot	qwen3:0.6b	spam	legitimate	0.6340	0.2952	0.0708	0.7140	miracle cream removes wrinkles overnight
few-shot	qwen3:0.6b	legitimate	legitimate	0.7674	0.1966	0.0360	0.3176	i added the numbers you asked for to the sheet
few-shot	qwen3:0.6b	phishing	legitimate	0.9486	0.0514	0.0000	0.0736	your package is held, confirm your card to release
few-shot	qwen3:0.6b	spam	legitimate	0.5866	0.3537	0.0596	0.2682	best deals on refurbished phones this month
few-shot	qwen3:0.6b	legitimate	legitimate	0.8540	0.1014	0.0445	0.1686	please bring your laptop to the workshop
few-shot	qwen3:0.6b	phishing	phishing	0.3130	0.1750	0.5121	0.6410	sign in to view the encrypted message from hr
few-shot	qwen3:0.6b	spam	legitimate	0.8961	0.0817	0.0222	0.2293	your name appeared in our prize draw list
few-shot	qwen3:0.6b	legitimate	legitimate	0.5219	0.2257	0.2524	0.8575	the release notes are ready for your approval
few-shot	qwen3:0.6b	legitimate	legitimate	0.5302	0.1701	0.2997	0.1409	the intern starts on monday, say hello
